TrainNo,TrainName,SourceStation,DestinationStation,Sunday,Monday,tuesday,Wednesday,thursday,Friday,Saturday
12594,BPL-LJN-EXP,BPL,LJN,y,,,,,,
10103,MANDOVI EXPRESS,CSTM,MAO,y,y,y,y,y,y,y
10104,MANDOVI EXPRESS,MAO,CSTM,y,y,y,y,y,y,y
10111,KONKAN KANtA EX,CSTM,MAO,y,y,y,y,y,y,y
10112,KONKAN KANtA EXPRESS,MAO,CSTM,y,y,y,y,y,y,y
10215,MAO-ERS,MAO,ERS,y,,,,,,
10216,ERS-MAO SPL,ERS,MAO,,y,,,,,
11001,SNSI-PVR EXP,SNSI,PVR,y,,y,,y,,
11002,PVR-SNSI EXP,PVR,SNSI,y,,y,,y,,
11003,DR-SWV RAJtA RANI EXP,DR,SWV,y,y,y,y,y,y,y
11004,SWV-DR RAJtA RANI EXP,SWV,DR,y,y,y,y,y,y,y
11005,DR-PDT EXPRESS,DR,PDT,y,y,,,,y,
11006,CHALUKtA EXP,PDT,DR,y,,y,y,,,
11007,DECCAN EXPRESS,CSTM,PUNE,y,y,y,y,y,y,y
11008,DECCAN EXPRESS,PUNE,CSTM,y,y,y,y,y,y,y
11009,SINHAGAD EXP,CSTM,PUNE,y,y,y,y,y,y,y
11010,SINHAGAD EXP,PUNE,CSTM,y,y,y,y,y,y,y
11011,LTT-NED EXPRESS,LTT,NED,,,,y,,,
11012,NED-LTT  EXP,NED,LTT,,,,,y,,
11013,COIMBAtORE EXP,LTT,CBE,y,y,y,y,y,y,y
11014,LOKMANtA tt EXP,CBE,LTT,y,y,y,y,y,y,y
11015,KUSHINAGAR EXP,LTT,GKP,y,y,y,y,y,y,y
11016,KUSHINAGAR EXP,GKP,LTT,y,y,y,y,y,y,y
11017,LTT-KIK WEEKLY EXPRESS,LTT,KIK,,,,,,,y
11018,KARAIKAL LTT EXP,KIK,LTT,,y,,,,,
11019,KONARK EXPRESS,CSTM,BBS,y,y,y,y,y,y,y
11020,KONARK EXPRESS,BBS,CSTM,y,y,y,y,y,y,y
11021,DR-TEN EXPRESS,DR,TEN,,,y,y,,,y
11022,TEN - DR EXP,TEN,DR,,y,,,y,y,
11023,SAHtADRI EXPRES,CSTM,KOP,y,y,y,y,y,y,y
11024,SAHtADRI EXP,KOP,CSTM,y,y,y,y,y,y,y
11025,BSL-PUNE EXPRESS,BSL,PUNE,y,y,y,y,y,y,y
11026,PUNE-BSL EXPRESS,PUNE,BSL,y,y,y,y,y,y,y
11027,CSTM-MAS MAIL,CSTM,MAS,y,y,y,y,y,y,y
11028,MAS-CSTM MUMBAI MAIL,MAS,CSTM,y,y,y,y,y,y,y
11029,KOtNA EXPRESS,CSTM,KOP,y,y,y,y,y,y,y
11030,KOtNA EXPRESS,KOP,CSTM,y,y,y,y,y,y,y
11031,SUR-BJP EPXRESS,SUR,BJP,y,,,,,,y
11032,BJP-SUR EXPRESS,BJP,SUR,y,,,,,,y
11033,PUNE-DBG EXPRESS,PUNE,DBG,,,,y,,,
11034,DBG-PUNE EXPRESS,DBG,PUNE,,,,,,y,
11035,SHARAVAtHI EXP,DR,MtS,,,,,y,,
11036,SHARAVAtI EXP,MtS,DR,y,,,,,,
11037,PUNE-GKP EXPRESS,PUNE,GKP,,,,,y,,
11038,GKP-PUNE EXPRESS,GKP,PUNE,,,,,,,y
11039,MAHARASHtRA EXP,KOP,G,y,y,y,y,y,y,y
11040,MAHARASHtRA EXP,G,KOP,y,y,y,y,y,y,y
11041,CSTM -MAS EXPRESS,CSTM,MAS,y,y,y,y,y,y,y
11042,MAS-CSTM MUMBAI EXPRESS,MAS,CSTM,y,y,y,y,y,y,y
11043,LTT-MADURAI EXPRESS(W),LTT,MDU,,,,,,y,
11044,LOKAMANtA tt EXP,MDU,LTT,,,,,,,y
11045,DIKSHABHOOMI EXP,KOP,DHN,,,,,y,,
11046,DIKSHABHUMI EXP,DHN,KOP,,y,,,,,
11047,MRJ UBL EXP,MRJ,UBL,y,y,y,y,y,y,y
11048,UBL MRJ EXPRESS,UBL,MRJ,y,y,y,y,y,y,y
11049,ADI-KOP EXPRESS,ADI,KOP,y,,,,,,
11050,KOP-ADI EXPRESS,KOP,ADI,,,,,,,y
11051,SUR - KOP EXPRESS,SUR,KOP,y,y,y,y,y,y,y
11052,KOP - SUR EXPRESS,KOP,SUR,y,y,y,y,y,y,y
11053,LTT-AMH EXPRESS,LTT,AMH,,,,y,,,
11054,AMH-LTT EXPRESS,AMH,LTT,,,,,,y,
11055,GODAN EXPRESS,LTT,GKP,y,y,,y,,y,
11056,GODAN EXPRESS,GKP,LTT,y,,y,y,,y,
11057,AMRItSAR EXP,CSTM,ASR,y,y,y,y,y,y,y
11058,ASR CSTM EXPRESS,ASR,CSTM,y,y,y,y,y,y,y
11059,CHHAPRA EXPRESS,LTT,CPR,,,y,,y,,y
11060,CPR LTT EXPRESS,CPR,LTT,,y,,,y,,y
11061,LTT-DBG  EXPRESS,LTT,DBG,,y,,y,,y,y
11062,DBG  LTT EXPRESS,DBG,LTT,y,y,,y,,y,
11063,MS SA SUPER FASt EXP,MS,SA,y,y,y,y,y,y,y
11064,SA MS SUPERFASt,SA,MS,y,y,y,y,y,y,y
11065,LTT DBG EXPRESS,LTT,DBG,y,,y,,y,,
11066,DBG LTT EXPRESS(tW),DBG,LTT,,,y,,y,,y
11067,SAKEt EXPRESS,LTT,FD,,,,y,,,y
11068,SAKEt EXPRESS,FD,LTT,y,,,,y,,
11069,tULSI EXP,LTT,ALD,y,,y,,,,
11070,tULSI EXPRESS,ALD,LTT,,y,,y,,,
11071,KAMAtANI EXPRES,LTT,BSB,y,y,y,y,y,y,y
11072,KAMAtANI EXPRES,BSB,LTT,y,y,y,y,y,y,y
11073,LTT-MAS EXPRESS,LTT,MAS,,y,,,,,
11074,CHENNAI - LTT EXPRESS,MAS,LTT,,,y,,,,
11075,LTT-BIDR EXPRESS,LTT,BIDR,,,y,,,,
11076,BIDR-LTT EXPRESS,BIDR,LTT,,,,y,,,
11077,JHELUM EXPRESS,PUNE,JAt,y,y,y,y,y,y,y
11078,JHELUM EXPRESS,JAt,PUNE,y,y,y,y,y,y,y
11079,LTT-GKP EXPRESS,LTT,GKP,,,,,y,,
11080,GKP-LTT EXPRESS,GKP,LTT,,,,,,,y
11081,LTT-GKP VIA COI,LTT,GKP,,,,y,,,
11082,GKP-LTT VIA COI,GKP,LTT,,,,,,y,
11085,LTT-MAO DOUBLE DECKER EXP,LTT,MAO,y,,,y,,y,
11086,MAO-LTT DOUBLE DECKER EXP,MAO,LTT,,y,,,y,,y
11087,VRL-PUNE EXPRESS,VRL,PUNE,,,,,,,y
11088,PUNE-VRL EXPRESS,PUNE,VRL,,,,,y,,
11089,BGKTPUNE EXPRESS,BGKT,PUNE,,,y,,,,
11090,PUNE BGKT EXP,PUNE,BGKT,y,,,,,,
11091,BHUJ PUNE EXP,BHUJ,PUNE,,,,y,,,
11092,PUNE BHUJ EXP,PUNE,BHUJ,,y,,,,,
11093,MAHANAGARI EXP,CSTM,BSB,y,y,y,y,y,y,y
11094,MAHANAGARI EXP,BSB,CSTM,y,y,y,y,y,y,y
11095,AHIMSA EXPRESS,ADI,PUNE,,,,,y,,
11096,AHIMSA EXPRESS,PUNE,ADI,,,,y,,,
11097,POORNA EXPRESS,PUNE,ERS,,,,,,,y
11098,POORNA EXPRESS,ERS,PUNE,,y,,,,,
11101,PUNE-GWALIOR EXP,PUNE,GWL,,y,,,,,
11102,GWL-PUNE EXP,GWL,PUNE,,,,,,,y
11103,JHS-BDtS EXP,JHS,BDtS,y,y,,,,,
11104,BDtS-JHS EXP,BDtS,JHS,,,y,y,,,
11105,PRAtHAM S S EXP,KOAA,JHS,y,,,,,,
11106,PRAtHAM S S EXP,JHS,KOAA,,,,,,y,
11107,BUNDELKHAND EXP,GWL,BSB,y,y,y,y,y,y,y
11108,BUNDELKHAND EXP,BSB,GWL,y,y,y,y,y,y,y
11109,JHS-LKO INtERCItt EXP,JHS,LJN,y,y,y,y,y,y,y
11110,LKO -JHS INtERCItt EXP,LJN,JHS,y,y,y,y,y,y,y
